"nav","nav_date","scheme_id"
"10.0996","2018-01-31","121721"
"21.1385","2018-01-31","121722"
"10.1564","2018-01-31","109618"
"20.9082","2018-01-31","109617"
"10.1642","2018-01-31","121181"
"23.4162","2018-01-31","122165"
"10.0735","2018-01-31","106057"
"21.1175","2018-01-31","121182"
"10.0966","2018-01-31","110021"
"20.932","2018-01-31","110024"
"22.9451","2018-01-31","106707"
"23.1902","2018-01-31","106060"
"10.0805","2018-01-31","122152"
"23.5862","2018-01-31","106709"
"10.129","2018-01-31","106706"
"24.2792","2018-01-31","106185"
"10.243","2018-01-31","123663"
"23.711","2018-01-31","123646"
"23.5937","2018-01-31","106183"
"10.2359","2018-01-31","106186"
"23.0558","2018-01-31","125077"
"10.1369","2018-01-31","125078"
"10.0138","2018-01-31","142222"
"9.9964","2018-01-31","142275"
"9.9965","2018-01-31","142272"
"9.9956","2018-01-31","142277"
"9.9964","2018-01-31","142268"
"9.9956","2018-01-31","142269"
"10.0138","2018-01-31","142224"
"10.0196","2018-01-31","142225"
"10.0196","2018-01-31","142220"
"10.0138","2018-01-31","142226"
"10.0138","2018-01-31","142223"
"10.0196","2018-01-31","142227"
"10.0196","2018-01-31","142219"
"10.0331","2018-01-31","142034"
"10.0468","2018-01-31","142025"
"10.0331","2018-01-31","142030"
"10.0201","2018-01-31","142094"
"10.02","2018-01-31","142096"
"10.0202","2018-01-31","142099"
"10.0201","2018-01-31","142095"
"10.0108","2018-01-31","142098"
"10.0108","2018-01-31","142102"
"10.0108","2018-01-31","142101"
"10.0108","2018-01-31","142100"
"10.0201","2018-01-31","142093"
"10.0108","2018-01-31","142097"
"10.0161","2018-01-31","142201"
"10.0146","2018-01-31","142208"
"10.1024","2018-01-31","141818"
"10.1024","2018-01-31","141823"
"10.0218","2018-01-31","141819"
"10.0474","2018-01-31","141906"
"10.0474","2018-01-31","141899"
"10.0474","2018-01-31","141900"
"10.0474","2018-01-31","141904"
"10.0223","2018-01-31","141901"
"10.0224","2018-01-31","141903"
"10.0224","2018-01-31","141907"
"10.0224","2018-01-31","141902"
"10.0224","2018-01-31","141905"
"10.0544","2018-01-31","141945"
"10.0544","2018-01-31","141940"
"10.0351","2018-01-31","141943"
"10.0351","2018-01-31","141944"
"10.0351","2018-01-31","141948"
"10.0351","2018-01-31","141942"
"10.0544","2018-01-31","141939"
