"nav","nav_date","scheme_id","fund_house","scheme_name","pay_out","type","category","sub_category"
"12.3188","2018-01-31","134075","Invesco Mutual Fund","Invesco India Annual Interval Fund - Series 1 - Plan B - Direct Sub-Plan - Growth","INF205K01V29","Interval Fund Schemes "," Income ",NULL
"12.282","2018-01-31","134074","Invesco Mutual Fund","Invesco India Annual Interval Fund - Series 1 - Plan B - Regular Sub-Plan - Growth","INF205K01V03","Interval Fund Schemes "," Income ",NULL
"30.4606","2018-01-31","108232","UTI Mutual Fund","UTI-Long Term Advantage Fund Series-II - Dividend Option","","Close Ended Schemes "," ELSS ",NULL
"15.0342","2018-01-31","120986","Bandhan Mutual Fund","IDFC YS Interval Fund - Series II-Direct Plan-Growth","INF194K013E8","Interval Fund Schemes "," Income ",NULL
"10.6268","2018-01-31","120985","Bandhan Mutual Fund","IDFC YS Interval Fund - Series II-Regular Plan-Dividend","INF194K012E0","Interval Fund Schemes "," Income ",NULL
"14.9197","2018-01-31","120984","Bandhan Mutual Fund","IDFC YS Interval Fund - Series II-Regular Plan-Growth","INF194K011E2","Interval Fund Schemes "," Income ",NULL
"32.7781","2018-01-31","108231","UTI Mutual Fund","UTI-Long Term Advantage Fund Series -II - Growth Option","","Close Ended Schemes "," ELSS ",NULL
"26.5068","2018-01-31","111779","Tata Mutual Fund","Tata Infrastructure Tax Saving Fund - Dividend","INF277K01790","Close Ended Schemes "," ELSS ",NULL
"28.01","2018-01-31","111778","Tata Mutual Fund","Tata Infrastructure Tax Saving Fund - Growth","INF277K01808","Close Ended Schemes "," ELSS ",NULL
"31.8324","2018-01-31","108144","SBI Mutual Fund","SBI TAX ADVANTAGE FUND - SERIES I - DIVIDEND","INF200K01IK8","Close Ended Schemes "," ELSS ",NULL
"31.8395","2018-01-31","108145","SBI Mutual Fund","SBI TAX ADVANTAGE FUND - SERIES I - GROWTH","INF200K01IJ0","Close Ended Schemes "," ELSS ",NULL
"12.76","2018-01-31","107773","Invesco Mutual Fund","Invesco India AGILE Tax Fund - Growth Option","INF205K01FS6","Close Ended Schemes "," ELSS ",NULL
"54.19","2018-01-31","112624","L&T Mutual Fund","L&T Long Term Advantage Fund I - Regular Plan - Growth","INF917K01BR7","Close Ended Schemes "," ELSS ",NULL
"34.43","2018-01-31","112625","L&T Mutual Fund","L&T Long Term Advantage Fund I - Regular Plan - Dividend","INF917K01BQ9","Close Ended Schemes "," ELSS ",NULL
"12.76","2018-01-31","107714","Invesco Mutual Fund","Invesco India AGILE Tax Fund - Dividend Option","INF205K01FT4","Close Ended Schemes "," ELSS ",NULL
"13.6946","2018-01-31","133240","Sundaram Mutual Fund","Sundaram World Brand Fund Series III Regular Plan Growth","INF903J01Z49","Close Ended Schemes "," Growth ",NULL
"13.9328","2018-01-31","133242","Sundaram Mutual Fund","Sundaram World Brand Fund Series III Direct Plan Dividend Payout","INF903J01Z72","Close Ended Schemes "," Growth ",NULL
"13.9328","2018-01-31","133241","Sundaram Mutual Fund","Sundaram World Brand Fund Series III Direct Plan Growth","INF903J01Z64","Close Ended Schemes "," Growth ",NULL
"13.6946","2018-01-31","133243","Sundaram Mutual Fund","Sundaram World Brand Fund Series III Regular Plan Dividend Payout","INF903J01Z56","Close Ended Schemes "," Growth ",NULL
"11.5255","2018-01-31","141341","Sundaram Mutual Fund","Sundaram Value Fund Series VIII Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1AK2","Close Ended Schemes "," Growth ",NULL
"10.0208","2018-01-31","141914","Sundaram Mutual Fund","Sundaram Value Fund Series IX Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1BK0","Close Ended Schemes "," Growth ",NULL
"10.0663","2018-01-31","141916","Sundaram Mutual Fund","Sundaram Value Fund Series IX Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1BM6","Close Ended Schemes "," Growth ",NULL
"10.0208","2018-01-31","141913","Sundaram Mutual Fund","Sundaram Value Fund Series IX Regular Plan - Growth","INF903JA1BJ2","Close Ended Schemes "," Growth ",NULL
"11.5255","2018-01-31","141342","Sundaram Mutual Fund","Sundaram Value Fund Series VIII Direct Plan - Growth","INF903JA1AJ4","Close Ended Schemes "," Growth ",NULL
"11.27","2018-01-31","140658","Sundaram Mutual Fund","Sundaram Value Fund Series VII Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1781","Close Ended Schemes "," Growth ",NULL
"11.4114","2018-01-31","141339","Sundaram Mutual Fund","Sundaram Value Fund Series VIII Regular Plan - Growth","INF903JA1AH8","Close Ended Schemes "," Growth ",NULL
"11.27","2018-01-31","140659","Sundaram Mutual Fund","Sundaram Value Fund Series VII Regular Plan - Growth","INF903JA1773","Close Ended Schemes "," Growth ",NULL
"11.3271","2018-01-31","140653","Sundaram Mutual Fund","Sundaram Value Fund Series VII Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1807","Close Ended Schemes "," Growth ",NULL
"11.3271","2018-01-31","140660","Sundaram Mutual Fund","Sundaram Value Fund Series VII Direct Plan - Growth","INF903JA1799","Close Ended Schemes "," Growth ",NULL
"11.4114","2018-01-31","141340","Sundaram Mutual Fund","Sundaram Value Fund Series VIII Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1AI6","Close Ended Schemes "," Growth ",NULL
"10.0209","2018-01-31","141932","Sundaram Mutual Fund","Sundaram Value Fund Series X Direct Plan - Growth","INF903JA1BP9","Close Ended Schemes "," Growth ",NULL
